Name,k_wins,sb_wins,d_wins,hd_strk,lg_stk,bd_strk,st_land,st_attemp,tk_land,tk_attemp,strksL_perm,strksAb_perm,takedAv_per,subAvg_perm,strk_d,take_d,kd_rat,av_time,stand_stk,clinch_stk,grnd_stk
Andrei Arlovski,17,3,7,427,194,128,749,1790,7,25,3.08,3.00,0.56,0.31,59,79,0.62,08:41,571,137,41
Alistair Overeem,22,17,5,201,68,173,442,605,3,13,3.70,4.79,0.50,0.38,61,73,1.00,07:58,218,106,118
Cain Velasquez,12,0,2,542,100,77,719,1249,34,81,6.48,2.46,4.59,0.41,57,86,1.35,07:24,260,195,264
Fabricio Werdum,0,0,0,540,140,153,833,1491,12,47,4.74,4.42,1.02,0.34,57,32,0.34,11:00,636,96,101
Junior Dos Santos,15,1,5,666,39,359,1064,2198,5,9,4.76,3.07,0.34,0.07,59,80,0.94,11:45,897,94,73
Todd Duffee,0,0,0,77,2,13,92,258,,,5.56,2.66,0.00,0.00,60,90,2.72,03:18,75,12,5
Ben Rothwell,27,6,3,251,49,46,346,799,7,21,3.20,5.84,0.97,0.56,48,69,0.42,09:49,260,35,51
Daniel Cormier,9,4,7,450,76,99,625,1218,17,45,3.83,3.66,1.93,0.74,58,78,0.18,12:34,312,178,135
Stipe Miocic,13,1,4,557,91,72,720,1392,24,63,4.76,2.96,2.38,0.00,63,75,0.50,10:05,474,84,162
Walt Harris,11,0,0,153,20,59,232,628,1,6,2.75,2.69,0.36,0.18,62,76,1.07,07:41,157,21,54
Derrick Lewis,18,1,2,334,23,69,426,847,5,21,2.69,2.38,0.47,0.00,44,53,0.47,09:20,169,65,192
Marcos Rogerio De Lima,12,2,2,86,33,24,143,249,,5,3.37,3.53,1.06,1.06,54,36,1.41,04:43,62,18,63
Aleksei Oleinik,8,45,4,92,15,31,138,282,8,23,3.06,3.28,2.99,2.66,53,11,0.66,05:39,84,33,21
Jarjis Danho,6,0,0,68,2,20,90,186,1,5,3.39,5.77,0.57,0.00,48,10,0.00,13:16,52,32,6
Shamil Abdurakhimov,8,4,7,104,40,27,171,374,5,26,2.44,2.24,1.50,0.21,60,67,0.21,11:41,100,49,22
Chris De La Rocha,3,2,0,92,7,22,121,265,3,13,4.08,6.37,2.02,1.01,44,33,0.00,07:25,84,17,20
Francis Ngannou,9,4,0,109,10,16,135,363,,,2.05,1.94,0.00,0.46,49,71,0.91,06:35,91,22,22
Curtis Blaydes,8,0,2,230,52,46,328,640,33,70,3.71,2.03,6.79,0.00,55,25,0.17,09:49,118,55,155
Cyril Asker,4,3,2,51,0,6,57,146,5,8,3.35,5.82,4.41,0.88,36,10,0.00,03:24,20,4,33
Marcin Tybura,7,6,4,247,63,59,369,702,11,18,3.60,2.99,1.61,0.15,52,79,0.15,14:38,213,49,107
Alexander Volkov,19,3,7,311,67,93,471,780,5,8,6.28,3.35,1.20,0.00,57,75,0.40,14:59,370,57,44
Daniel Spitz,,,,39,16,18,73,184,,,2.88,4.77,1.18,0.00,51,0.,08:28,14:59,370,57,44
Justin Willis,4,3,1,176,16,19,211,356,4,6,3.37,2.57,0.96,0.00,58,36,0.48,12:31,168,14,29
Junior Albini,6,6,2,60,17,20,97,183,1,8,3.80,5.49,1.76,0.00,51,10,0.59,06:23,73,20,4
Marcelo Golm,5,1,0,89,24,24,137,228,1,2,4.26,3.92,0.47,0.47,47,88,0.00,10:43,68,49,20
Adam Wieczorek,3,6,1,28,13,21,62,160,,3,1.68,1.87,0.41,0.41,49,59,0.00,12:20,43,12,7
Tai Tuivasa,7,0,1,91,12,27,130,249,,2,4.42,3.06,0.00,0.00,59,10,1.02,07:21,99,29,2
Allen Crowder,5,3,1,18,8,1,27,68,,3,2.70,6.79,1.50,1.50,58,10,0.00,05:01,21,3,3
Dmitry Sosnovskiy,6,2,2,22,1,5,28,40,2,3,2.95,2.53,3.16,3.16,35,10,0.00,09:29,10,5,13
Blagoy Ivanov,6,6,2,90,4,29,123,407,,,3.08,4.50,0.00,0.00,56,10,0.00,20:00,119,4,0
Augusto Sakai,10,0,2,81,9,21,111,218,1,1,7.90,11.17,1.07,0.00,58,89,0.00,14:03,69,30,12
Maurice Greene,1,4,1,48,20,11,79,176,,,4.58,3.83,0.00,0.87,54,67,0.00,08:37,62,17,0
Justin Frazier,,,,0,0,4,4,6,,,1.11,6.11,0.00,0.00,"4
",0.,03:36,08:37,62,17,0
Juan Espino,,,,19,0,3,22,23,,,6.11,1.11,8.33,8.33,33,0.,03:36,08:37,62,17,0
Juan Adams,5,0,0,74,4,8,86,144,2,2,7.84,4.29,2.74,0.00,48,80,0.00,10:58,38,13,35
Greg Hardy,3,0,0,21,3,5,29,64,,,3.88,2.41,0.00,0.00,64,67,0.00,07:28,17,6,6
Jairzinho Rozenstruik,5,0,1,15,4,0,19,27,,,3.22,3.05,0.00,0.00,33,67,2.54,05:54,9,5,5
Jeff Hughes,4,1,5,42,13,11,66,143,,1,4.40,5.07,0.00,0.00,57,10,0.00,15:00,62,4,0
Ed Herman,6,13,4,397,60,167,624,1253,32,62,3.18,3.10,2.45,1.22,45,61,0.23,09:20,276,165,183
Mauricio Rua,20,1,4,453,163,112,728,1396,21,56,3.51,4.13,1.74,0.29,55,46,1.01,10:54,480,123,125
Jon Jones,10,6,7,645,342,313,1300,2270,36,85,4.48,2.05,2.07,0.52,65,95,0.26,14:31,797,241,262
Igor Pokrajac,0,0,0,228,20,24,272,592,7,24,2.25,4.26,0.87,0.25,40,51,0.50,09:19,153,81,38
Alexander Gustafsson,11,3,4,484,80,99,663,1667,18,45,4.01,3.51,1.63,0.45,52,85,0.82,11:01,496,59,108
Antonio Rogerio Nogueira,7,6,9,217,15,57,289,808,1,1,2.74,6.12,0.14,0.28,61,63,0.57,09:36,198,43,48
Ovince Saint Preux,11,7,5,304,48,90,442,1017,9,34,2.60,3.95,0.88,0.44,45,66,0.27,09:26,329,50,63
Daniel Cormier,9,4,7,450,76,99,625,1218,17,45,3.83,3.66,1.93,0.74,58,78,0.18,12:34,312,178,135
Gian Villante,10,2,5,502,151,88,741,1756,5,22,4.49,6.43,0.45,0.00,56,83,0.27,11:00,661,49,31
Glover Teixeira,17,7,4,473,3,65,541,1246,20,50,3.46,3.65,2.21,0.86,56,61,0.48,08:14,276,51,214
Jimi Manuwa,15,1,1,118,89,80,287,530,3,16,3.44,3.99,0.54,0.36,49,71,0.54,07:36,178,104,5
Ilir Latifi,6,5,4,127,32,27,186,442,10,31,2.34,2.66,1.89,0.57,56,10,0.76,07:13,120,25,41
Thiago Santos,15,1,5,347,123,129,599,1180,5,20,5.01,2.16,1.00,0.13,61,67,1.51,06:38,282,124,193
Nikita Krylov,11,14,0,174,37,60,271,460,1,7,5.59,2.62,0.62,1.86,45,40,0.93,04:51,111,113,47
Patrick Cummins,4,2,4,388,37,51,476,948,34,83,4.21,3.36,4.51,0.13,55,29,0.00,09:26,206,81,189
Corey Anderson,4,0,8,536,51,101,688,1492,52,104,4.37,2.20,4.96,0.00,59,83,0.00,12:07,407,106,175
Sam Alvey,19,3,11,321,78,88,487,1070,1,4,3.20,3.25,0.10,0.10,55,84,0.69,09:30,337,124,26
Jake Collier,5,3,3,148,46,67,261,660,3,13,4.15,3.69,0.72,0.48,52,68,0.48,10:29,209,42,10
Misha Cirkunov,5,7,2,109,7,34,150,286,9,17,4.45,2.58,4.45,2.23,65,71,0.00,04:13,90,40,20
Anthony Smith,18,11,2,256,41,68,365,733,3,14,3.19,4.86,0.52,0.52,43,50,0.65,10:25,285,58,22
Ion Cutelaba,11,2,1,143,19,51,213,604,6,9,4.62,3.16,1.95,0.00,49,69,0.33,09:14,119,72,22
Devin Clark,3,1,5,135,35,43,213,366,13,29,3.43,3.13,3.14,0.24,40,83,0.48,10:21,98,54,61
Justin Ledet,2,5,2,161,0,3,164,393,1,2,3.47,4.34,0.32,0.32,49,40,0.00,11:49,160,3,1
Gadzhimurad Antigulov,,,,9,2,3,14,26,,,1.78,5.45,9.51,3.81,22,0.,02:38,11:49,160,3,1
Tyson Pedro,2,5,0,62,22,26,110,175,2,8,2.70,2.55,0.74,1.47,48,53,0.74,06:48,66,31,13
Saparbek Safarov,6,2,0,96,10,9,115,239,2,12,4.29,3.10,2.80,0.00,47,10,0.00,08:56,55,9,51
Paul Craig,1,10,0,39,29,47,115,251,3,36,1.91,2.82,1.74,1.49,46,50,0.00,10:03,76,31,8
Bojan Mihajlovic,4,2,4,7,10,9,26,73,,1,1.23,5.95,0.00,0.00,48,33,0.00,07:04,21,5,0
Volkan Oezdemir,11,1,3,161,45,43,249,537,,9,4.73,4.30,0.57,0.00,56,75,0.29,08:46,185,38,26
Dominick Reyes,6,2,2,94,47,46,187,359,1,6,5.05,2.27,0.40,0.40,58,86,1.21,07:25,137,31,19
Eryk Anders,7,1,3,212,4,57,273,540,6,29,3.12,3.89,2.05,0.17,49,67,0.68,14:36,158,65,50
Abdul-Kerim Edilov,,,,59,2,16,77,125,,,10.22,0.13,3.98,1.99,92,0.,07:32,14:36,158,65,50
Aleksandar Rakic,7,1,2,122,34,25,181,339,3,5,5.31,1.61,1.32,0.00,51,88,0.88,11:22,79,14,88
Gokhan Saki,1,0,0,37,6,2,45,77,,,7.09,4.57,0.00,0.00,53,10,4.72,03:11,44,1,0
Marcin Prachnio,,,,4,10,4,18,46,,,2.39,2.92,0.00,0.00,52,0.,03:46,03:11,44,1,0
Magomed Ankalaev,5,0,5,68,7,26,101,190,,3,3.05,1.33,0.45,0.00,67,83,0.91,11:03,46,16,39
Mike Rodriguez,7,2,0,42,4,29,75,108,,,4.17,3.56,0.00,0.00,29,42,1.67,09:00,27,32,16
Darko Stosic,0,0,0,8,1,0,9,16,,,2.80,1.24,0.00,0.00,75,10,0.00,03:13,1,0,8
Ryan Spann,3,10,2,38,0,8,46,97,,,3.07,2.67,0.00,1.00,44,67,0.00,15:00,23,5,18
Johnny Walker,14,2,1,17,3,1,21,27,,,7.50,20.71,0.00,0.00,29,10,16.07,00:56,10,3,8
Jimmy Crute,3,3,3,16,1,0,17,38,1,1,1.14,3.57,1.01,4.04,52,57,0.00,14:51,2,0,15
Alonzo Menifield,6,1,0,32,1,0,33,60,,,8.39,4.83,0.00,0.00,50,78,3.81,03:56,24,0,9
Klidson Abreu,0,0,0,10,5,8,23,62,,5,1.53,2.00,0.00,0.00,55,67,0.00,15:00,16,7,0
Nicolae Negumereanu,6,3,0,5,3,3,11,27,,,0.73,4.67,0.00,0.00,19,40,0.00,15:00,7,4,0
Kennedy Nzechukwu,4,0,2,33,0,7,40,72,,,2.79,7.67,0.00,0.00,56,87,0.00,14:20,11,7,22
Anderson Silva,22,4,8,432,179,160,771,1285,3,4,3.09,3.14,0.18,0.36,62,69,1.08,10:51,509,120,142
Luke Rockhold,6,8,2,194,51,66,311,555,5,11,4.91,4.67,1.18,1.42,59,68,0.47,07:02,166,19,126
CB Dollaway,0,0,0,288,56,92,436,918,37,71,2.65,2.58,3.55,1.18,54,63,0.27,08:15,248,59,129
Ronaldo Souza,8,14,4,216,23,83,322,605,13,44,3.16,5.43,1.91,1.18,64,54,0.44,08:29,176,49,97
David Branch,6,7,9,65,31,41,137,344,11,43,1.66,1.91,2.55,0.00,57,44,0.18,09:09,68,48,21
Tim Boetsch,13,3,5,364,110,161,635,1253,21,61,2.93,2.90,1.45,0.76,57,59,0.48,09:02,397,161,77
Brad Tavares,5,2,10,416,162,118,696,1704,16,59,3.02,2.73,1.04,0.00,56,78,0.20,13:34,551,109,36
Chris Weidman,6,4,4,349,46,70,465,1084,36,71,3.15,3.23,3.76,1.02,51,73,0.31,10:32,294,49,122
Derek Brunson,11,3,4,197,45,17,259,609,13,54,3.12,3.04,2.35,0.54,51,10,0.90,05:56,144,57,58
Trevor Smith,1,9,5,261,88,130,479,834,16,47,3.52,3.41,1.76,0.66,51,63,0.22,12:23,234,127,118
Yoel Romero,11,0,2,287,114,101,502,979,20,56,3.32,2.95,1.98,0.00,63,78,0.89,13:46,334,68,100
Marcelo Guimaraes,,,,63,112,36,211,406,,,4.67,4.41,1.99,0.00,63,0.,11:17,13:46,334,68,100
Hector Lombard,22,4,8,289,94,52,435,889,15,31,3.34,4.12,1.73,0.23,53,77,0.81,10:51,303,61,71
Cezar Ferreira,4,4,6,140,50,68,258,605,23,47,1.83,2.14,2.97,0.53,55,91,0.21,10:06,200,12,46
Robert Whittaker,10,5,6,542,131,101,774,1901,4,7,4.82,3.65,0.37,0.00,61,84,0.75,12:20,633,73,68
Uriah Hall,11,1,2,225,122,80,427,831,7,18,3.43,3.82,0.84,0.24,53,71,0.60,08:53,331,35,61
Antonio Braga Neto,,,,30,4,6,40,120,,,1.36,3.92,3.07,0.51,45,0.,09:46,08:53,331,35,61
Kelvin Gastelum,7,4,5,444,79,114,637,1458,9,18,3.86,2.87,0.82,0.18,61,63,0.82,11:47,500,73,64
Zak Cummings,5,11,5,179,56,54,289,892,7,20,2.80,3.18,1.02,0.87,52,67,0.44,10:19,216,49,24
Omari Akhmedov,7,5,5,243,44,61,348,1018,19,39,3.07,2.89,2.51,0.26,58,59,0.26,11:21,249,48,51
Krzysztof Jotko,6,1,12,221,47,77,345,782,9,24,2.86,1.89,1.12,0.12,59,87,0.25,12:04,148,128,69
Elias Theodorou,6,1,10,263,132,184,579,1354,13,45,4.17,2.24,1.40,0.00,55,60,0.00,13:53,354,153,72
Antonio Carlos Junior,4,2,2,12,5,6,23,55,,5,1.12,3.65,2.92,2.19,40,73,0.00,06:51,15,6,2
Keith Berish,,,,39,16,6,61,168,,,3.58,4.81,1.76,0.00,63,0.,08:32,06:51,15,6,2
Jared Cannonier,7,2,2,202,32,25,259,508,1,3,3.63,2.83,0.21,0.00,68,45,0.42,08:55,177,48,34
Tom Breese,4,6,1,111,11,44,166,333,,5,3.85,2.57,0.00,0.35,65,73,1.04,08:38,127,21,18
Jonathan Wilson,6,0,1,87,9,21,117,243,1,1,2.92,5.65,0.37,0.00,56,80,0.75,10:00,95,14,8
Alessio Di Chirico,5,4,2,126,19,38,183,439,9,16,3.36,2.94,2.48,0.00,64,78,0.55,10:54,149,22,12
Andrew Sanchez,6,2,3,259,24,54,337,693,13,35,4.83,4.83,2.79,0.00,49,10,0.43,13:58,246,39,52
Marvin Vettori,2,8,2,157,38,25,220,560,7,16,3.41,2.96,1.63,0.93,65,74,0.00,12:54,178,13,29
Jack Hermansson,11,5,3,167,49,31,247,441,6,17,4.90,1.77,2.38,0.89,64,73,0.00,06:18,99,34,114
Jack Marshman,13,5,4,125,19,32,176,616,,,2.69,3.40,0.00,0.00,58,22,0.69,10:55,161,5,10
Darren Stewart,7,0,2,122,18,29,169,387,6,17,2.96,2.67,1.84,0.00,53,64,0.53,08:09,82,64,23
Gerald Meerschaert,6,20,2,105,6,19,130,273,6,27,2.63,3.56,3.64,2.43,47,50,0.30,07:04,64,33,33
Paulo Costa,11,1,0,106,6,77,189,318,,1,8.83,5.79,0.00,0.00,51,82,2.10,05:21,142,26,21
Trevin Giles,5,5,1,96,3,12,111,166,5,5,5.45,1.13,3.69,0.00,76,67,0.74,10:11,76,5,30
Karl Roberson,2,3,1,61,5,13,79,130,1,4,2.95,1.46,1.68,1.12,72,57,0.56,06:42,31,22,26
Markus Perez,3,4,3,37,7,44,88,186,3,7,2.55,4.50,1.31,1.31,49,82,0.00,11:29,56,25,7
Julian Marquez,5,2,0,57,3,19,79,211,,4,3.48,4.41,0.00,3.30,53,53,0.00,11:21,50,22,7
Israel Adesanya,13,0,3,163,86,57,306,568,,3,4.47,2.07,0.00,0.22,69,85,0.88,13:42,258,40,8
Charles Byrd,3,5,2,43,4,3,50,83,1,5,4.21,4.21,1.26,1.26,58,57,0.00,03:58,26,13,11
John Phillips,19,2,0,36,23,24,83,250,,,2.51,4.99,0.00,0.00,53,14,0.45,11:01,72,10,1
Oskar Piechota,5,5,1,70,13,13,96,168,2,4,3.58,2.83,1.12,2.80,58,25,1.68,08:56,58,15,23
Abu Azaitar,7,1,5,33,4,11,48,128,1,1,3.20,1.27,1.00,0.00,58,25,0.00,15:00,30,5,13
Kevin Holland,7,6,94,113,25,43,181,285,,9,4.11,3.45,2.04,1.70,60,50,0.00,14:42,122,12,47
Khalid Murtazaliev,0,0,0,33,4,11,48,69,5,5,4.80,0.40,7.50,0.00,79,33,0.00,10:00,8,3,37
Adam Yandiev,0,0,0,0,1,0,1,12,,,0.18,6.14,0.00,0.00,36,25,0.00,05:42,1,0,0
Ian Heinisch,4,2,6,38,7,10,55,95,1,7,3.67,2.07,1.00,2.00,52,50,1.00,15:00,30,14,11
Edmen Shahbazyan,7,0,1,25,4,6,35,58,8,21,2.24,2.56,7.68,0.00,53,75,0.96,07:49,14,18,3
Bevon Lewis,3,0,3,27,37,4,68,157,,,5.90,6.42,0.00,0.00,58,10,0.00,11:32,56,12,0
Robbie Lawler,20,1,7,772,35,203,1010,2176,16,22,3.93,5.47,0.99,0.00,60,69,0.52,12:52,665,232,113
Diego Sanchez,9,6,15,711,54,236,1001,2677,31,157,2.83,3.07,1.48,0.76,58,51,0.25,12:12,565,109,327
Thiago Alves,13,1,14,535,358,142,1035,2475,13,20,3.71,3.36,0.70,0.32,62,63,0.70,11:10,801,121,113
Keita Nakamura,7,16,10,249,17,42,308,863,18,34,2.16,3.70,1.90,0.42,59,62,0.42,14:14,246,33,29
Carlos Condit,15,13,2,489,215,192,896,2311,7,18,3.67,2.49,0.61,1.23,58,37,0.43,11:38,658,100,138
Matt Brown,0,0,0,516,76,237,829,1536,23,50,3.78,2.64,1.57,1.64,56,64,0.62,09:08,461,224,144
Demian Maia,3,12,10,520,39,83,642,1502,60,242,1.77,1.94,2.56,1.07,64,66,0.04,12:31,296,71,275
Ben Saunders,11,6,5,228,36,164,428,855,2,5,3.19,3.58,0.22,1.01,51,69,0.34,07:54,251,143,34
Dong Hyun Kim,0,0,0,327,53,44,424,865,39,89,2.12,1.89,2.93,0.60,59,72,0.30,11:05,155,84,185
Rafael Dos Anjos,5,9,14,710,252,284,1246,2745,45,112,3.62,3.32,1.96,0.70,63,59,0.22,13:15,830,230,186
Anthony Pettis,10,7,4,454,109,141,704,1538,8,22,2.87,3.22,0.73,1.22,55,59,0.43,11:10,579,51,74
Peter Sobotta,0,0,0,136,48,38,222,558,12,34,2.17,2.89,1.76,0.59,60,78,0.59,11:23,173,14,35
Tyron Woodley,7,5,7,260,48,140,448,939,5,13,2.64,3.95,0.44,0.27,57,92,0.88,13:04,214,114,120
Tarec Saffiedine,1,5,10,196,102,62,360,784,4,12,3.73,7.39,0.62,0.16,62,85,0.47,16:05,301,53,6
Court McGee,5,6,9,514,201,178,893,2466,23,101,4.72,3.43,1.98,0.48,63,63,0.08,13:31,733,62,98
Jorge Masvidal,13,2,17,526,122,204,852,1775,15,31,4.11,4.18,1.16,0.51,67,78,0.43,12:58,597,142,113
Jordan Mein,16,7,7,186,54,41,281,593,14,23,3.04,3.71,2.27,0.32,69,67,0.49,10:17,202,28,51
Stephen Thompson,7,1,6,426,84,166,676,1594,5,11,3.52,2.54,0.39,0.00,60,78,0.70,13:44,595,48,33
Tim Means,19,4,5,580,99,224,903,1979,8,21,4.82,3.31,0.88,0.16,63,64,0.56,09:52,696,105,102
Siyar  Bahadurzada,14,6,4,181,19,52,252,552,5,13,3.33,2.96,1.58,0.40,50,69,0.99,10:49,118,59,75
Michael Chiesa,0,10,4,140,19,44,203,531,17,48,2.14,2.35,3.32,1.42,52,68,0.16,07:54,136,29,38
Sergio Moraes,1,8,5,276,23,63,362,832,8,32,2.48,3.27,1.33,0.51,63,75,0.10,12:11,325,11,26
Gunnar Nelson,4,12,1,159,14,30,203,351,10,25,1.76,3.51,1.95,1.04,49,67,0.13,09:38,117,19,67
Neil Magny,7,3,11,655,98,154,907,1966,41,88,3.86,2.22,2.62,0.32,57,60,0.13,11:44,489,166,252
Michel Prazeres,2,10,14,272,66,63,401,849,41,122,2.44,2.49,4.11,0.64,58,50,0.18,12:38,292,42,67
James Krause,0,0,0,426,67,88,581,1240,7,55,4.57,4.15,1.18,0.71,62,46,0.00,10:36,515,44,22
Santiago Ponzinibbio,14,6,7,358,74,47,479,1206,4,9,4.27,4.02,0.54,0.00,65,61,1.20,10:11,434,17,28
Alex Garcia,6,6,3,176,11,25,212,676,28,55,1.81,3.03,3.72,0.13,59,67,0.38,11:42,160,30,22
Claudio Silva,2,8,5,62,24,21,107,231,7,32,2.27,2.25,3.18,1.91,45,50,0.00,11:47,66,8,33
Sean Strickland,8,4,7,445,45,34,524,1482,11,19,4.34,3.62,1.37,0.50,65,82,0.37,12:05,409,39,76
Chad Laprise,8,1,5,239,82,89,410,958,6,11,4.78,3.59,1.05,0.00,65,79,0.52,08:35,349,28,33
Nordine Taleb,7,0,7,185,93,79,357,659,16,21,3.42,2.52,2.30,0.00,67,71,0.29,10:27,260,33,64
Sheldon Westcott,4,4,2,48,2,13,63,155,6,16,2.26,3.73,3.23,0.00,37,14,0.00,09:18,10,20,33
Warlley Alves,2,7,4,166,43,75,284,605,8,18,2.88,4.09,1.22,0.91,50,80,0.15,10:57,201,59,24
Jake Matthews,5,6,3,262,34,38,334,718,17,42,2.96,2.16,2.26,0.93,59,67,0.27,10:16,167,30,137
Dhiego Lima,4,5,6,93,5,10,108,240,6,9,2.56,2.96,2.13,1.42,50,50,0.71,06:02,46,7,55
Alan Jouban,11,1,4,273,102,96,471,887,3,6,5.41,3.48,0.52,0.00,61,63,1.55,07:55,369,67,35
Colby Covington,3,4,7,276,84,57,417,1071,48,94,3.26,2.20,5.63,0.23,58,78,0.12,12:47,295,51,71
Alberto Mina,6,6,1,93,25,13,131,336,5,24,3.23,3.70,1.85,0.00,47,50,1.11,10:09,96,14,21
Shinsho Anzai,7,0,3,74,9,23,106,182,4,25,3.23,3.75,1.83,0.00,46,75,0.00,08:12,59,45,2
